Date,Open,High,Low,Close,Volume
2022-12-30,83.12,84.05,82.47,84.0,62401194
2022-12-29,82.87,84.55,82.55,84.18,54995895
2022-12-28,82.8,83.48,81.69,81.82,58228575
2022-12-27,84.97,85.35,83.0,83.04,57284035
2022-12-23,83.25,85.78,82.9344,85.25,57433655
2022-12-22,85.52,85.68,82.25,83.79,81431314
2022-12-21,86.175,87.225,85.21,86.77,59267156
2022-12-20,85.33,86.61,84.33,85.19,74348301
2022-12-19,87.51,87.63,84.51,84.92,83531460
2022-12-16,88.265,89.35,86.73,87.86,146144064
2022-12-15,89.89,89.97,87.47,88.45,84802877
2022-12-14,92.502,93.4581,89.87,91.58,70298006
2022-12-13,95.23,96.25,90.52,92.49,100212038
2022-12-12,89.21,90.58,87.87,90.55,61999762
2022-12-09,88.9,90.3,88.63,89.09,67398506
2022-12-08,89.24,90.86,87.88,90.35,73305887
2022-12-07,88.34,89.89,87.48,88.46,68086880
2022-12-06,90.5,91.04,87.9,88.25,75503628
2022-12-05,93.05,94.06,90.82,91.01,71535526
2022-12-02,94.475,95.36,93.78,94.13,72496388
2022-12-01,96.99,97.23,94.92,95.5,68487969
2022-11-30,92.47,96.54,91.525,96.54,102805806
2022-11-29,94.04,94.41,91.44,92.42,65567286
2022-11-28,93.93,96.4,93.43,93.95,75062316
2022-11-25,93.79,94.43,93.065,93.41,35088609
2022-11-23,93.24,94.58,92.83,94.13,59414684
2022-11-22,92.62,93.35,90.87,93.2,62191962
2022-11-21,93.97,95.02,90.59,92.46,84330270
2022-11-18,95.95,95.99,92.48,94.14,72428185
2022-11-17,95.37,96.97,94.03,94.85,82617865
2022-11-16,96.85,98.4879,95.54,97.12,87958828
2022-11-15,103.21,103.79,97.34,98.94,111336317
2022-11-14,98.77,100.1199,97.29,98.49,99533072
2022-11-11,97.88,101.19,96.66,100.79,111590544
2022-11-10,92.935,98.69,91.65,96.63,173414862
2022-11-09,89.47,89.48,85.87,86.14,90796249
2022-11-08,90.79,91.72,88.23,89.98,88703370
2022-11-07,91.95,92.1,89.04,90.53,77495728
2022-11-04,91.49,92.44,88.04,90.98,129101336
2022-11-03,92.47,93.5,89.02,89.3,136683303
2022-11-02,97.315,97.74,92.01,92.12,135761798
2022-11-01,103.99,104.58,96.06,96.79,153370032
2022-10-31,103.56,104.87,100.74,102.44,99251395
2022-10-28,97.905,103.96,97.66,103.41,223133398
2022-10-27,113.92,114.12,109.77,110.96,129605362
2022-10-26,116.0,119.3457,114.76,115.66,69002457
2022-10-25,119.65,121.3152,118.95,120.6,50934609
2022-10-24,119.98,120.39,116.57,119.82,49531523
2022-10-21,114.792,119.59,114.5,119.32,55660485
2022-10-20,113.83,118.24,113.51,115.25,48795104
2022-10-19,114.71,116.5932,113.22,115.07,47198122
2022-10-18,119.06,119.52,114.79,116.36,65607448
2022-10-17,110.11,114.19,110.09,113.79,62781985
2022-10-14,114.1,114.96,106.6,106.9,67737344
2022-10-13,107.88,113.44,105.345,112.53,86868103
2022-10-12,112.49,113.83,111.4,112.9,45728660
2022-10-11,112.71,115.48,110.39,112.21,56432233
2022-10-10,115.1,116.25,112.43,113.67,42339675
2022-10-07,118.0,118.17,113.88,114.56,54677980
2022-10-06,120.77,121.53,119.5,120.3,42253755
2022-10-05,118.58,121.75,117.69,120.95,48217535
2022-10-04,119.89,123.0,119.79,121.09,62812564
2022-10-03,113.58,116.91,112.45,115.88,50941854
2022-09-30,114.075,116.92,112.84,113.0,59479586
2022-09-29,115.6,116.07,113.06,114.8,58969714
